device_type,brand,model,age_months,total_repairs,months_since_last_repair,total_cost,last_repair_type,season,next_failure_type,failure_probability,will_fail_soon
tablet,Samsung,Galaxy Tab S8,3,0,3,0.0,none,1,touchscreen_failure,0.094,0
tablet,Apple,iPad 10,10,1,0,1059.24,touchscreen_failure,1,charging_port,0.39,0
phone,Samsung,Galaxy S21,37,2,26,899.91,speaker_failure,4,touchscreen_failure,0.312,0
laptop,Dell,Inspiron 15,49,5,24,1003.12,speaker_failure,2,motherboard_failure,0.688,1
tablet,Samsung,Galaxy Tab S9,23,1,17,982.65,touchscreen_failure,2,battery_degradation,0.249,0
phone,Apple,iPhone 13,60,4,34,4241.28,motherboard_failure,2,battery_degradation,0.526,1
phone,Samsung,Galaxy S23,20,3,8,1413.6,software_issue,1,battery_degradation,0.558,1
phone,Xiaomi,Poco F5,3,0,3,0.0,none,1,water_damage,0.113,0
phone,Xiaomi,Redmi Note 11,58,5,3,3059.18,charging_port,4,screen_damage,0.774,1
phone,Xiaomi,Redmi Note 12,8,0,8,0.0,none,3,battery_degradation,0.118,0
phone,Xiaomi,Mi 13,41,3,36,4484.38,screen_damage,3,battery_degradation,0.54,1
phone,Samsung,Galaxy S22,67,1,14,1033.9,water_damage,2,water_damage,0.488,1
tablet,Lenovo,Tab M10,72,6,31,703.26,battery_degradation,4,battery_degradation,0.619,1
tablet,Samsung,Galaxy Tab S8,54,5,26,1865.22,software_issue,4,water_damage,0.595,1
phone,Apple,iPhone 13,19,0,19,0.0,none,1,screen_damage,0.206,0
tablet,Samsung,Galaxy Tab A8,72,0,72,0.0,none,4,touchscreen_failure,0.406,0
phone,Samsung,Galaxy S22,43,3,5,6916.7,touchscreen_failure,1,battery_degradation,0.693,1
tablet,Lenovo,Tab P11,7,0,7,0.0,none,1,charging_port,0.089,0
phone,Apple,iPhone 15,72,3,13,3595.46,charging_port,3,battery_degradation,0.666,1
laptop,Apple,MacBook Air M1,25,2,23,586.58,keyboard_failure,4,battery_degradation,0.383,0
phone,Xiaomi,Mi 13,27,0,27,0.0,none,2,water_damage,0.264,0
tablet,Samsung,Galaxy Tab A8,49,3,29,4002.38,charging_port,3,battery_degradation,0.467,1
laptop,ASUS,ROG Strix G15,60,4,6,8028.17,motherboard_failure,3,speaker_failure,0.794,1
phone,Samsung,Galaxy S23,53,4,2,5625.25,water_damage,2,battery_degradation,0.693,1
phone,Samsung,Galaxy A54,54,4,18,1524.11,battery_degradation,4,speaker_failure,0.586,1
tablet,Apple,iPad Pro 11,71,3,21,1929.95,charging_port,4,touchscreen_failure,0.589,1
laptop,Lenovo,Legion 5,46,3,10,1049.69,battery_degradation,2,battery_degradation,0.606,1
tablet,Lenovo,Tab P11,68,4,2,8390.68,touchscreen_failure,1,charging_port,0.698,1
phone,Samsung,Galaxy S22,30,1,2,1767.92,water_damage,4,battery_degradation,0.385,0
laptop,Apple,MacBook Pro 14,62,4,31,157.32,battery_degradation,4,data_recovery,0.556,1
phone,Apple,iPhone 15,36,2,34,4887.4,screen_damage,4,software_issue,0.233,0
phone,Apple,iPhone 11,68,2,9,1204.84,battery_degradation,3,screen_damage,0.599,1
laptop,HP,EliteBook 840,11,0,11,0.0,none,4,battery_degradation,0.13,0
laptop,ASUS,ZenBook 14,29,1,9,1710.1,screen_damage,1,software_issue,0.49,1
phone,Samsung,Galaxy A34,49,3,35,3570.04,water_damage,2,overheating,0.522,1
phone,Samsung,Galaxy A34,43,4,36,9773.29,charging_port,1,motherboard_failure,0.61,1
phone,Apple,iPhone 15,61,2,17,232.81,charging_port,3,screen_damage,0.423,0
tablet,Lenovo,Tab P11,23,2,10,78.29,touchscreen_failure,2,speaker_failure,0.373,0
tablet,Samsung,Galaxy Tab S9,39,2,10,2819.79,screen_damage,4,overheating,0.525,1
tablet,Lenovo,Tab M10,50,5,8,9881.23,software_issue,1,screen_damage,0.771,1
tablet,Lenovo,Tab M10,7,1,1,1092.72,software_issue,3,screen_damage,0.444,0
tablet,Lenovo,Tab M10,42,1,1,1585.31,battery_degradation,4,screen_damage,0.608,1
laptop,Lenovo,IdeaPad 5,71,5,24,5398.1,screen_damage,4,speaker_failure,0.686,1
phone,Xiaomi,Poco X5,32,3,4,615.29,touchscreen_failure,2,screen_damage,0.558,1
tablet,Samsung,Galaxy Tab A8,47,6,6,1372.81,screen_damage,4,battery_degradation,0.824,1
laptop,HP,Pavilion 15,17,0,17,0.0,none,4,motherboard_failure,0.102,0
laptop,ASUS,VivoBook 15,66,4,26,1032.93,software_issue,1,speaker_failure,0.518,1
tablet,Lenovo,Tab M10,50,3,0,2188.86,charging_port,1,battery_degradation,0.678,1
tablet,Lenovo,Tab P11,67,2,10,3426.58,screen_damage,3,screen_damage,0.551,1
laptop,HP,EliteBook 840,19,3,2,1254.06,overheating,3,screen_damage,0.484,1
laptop,Apple,MacBook Air M2,33,1,15,1802.25,motherboard_failure,2,overheating,0.339,0
laptop,Apple,MacBook Air M1,39,2,0,4744.12,battery_degradation,4,charging_port,0.511,1
laptop,Dell,Inspiron 15,56,1,8,751.09,water_damage,2,battery_degradation,0.584,1
laptop,HP,Pavilion 15,51,3,20,2185.86,battery_degradation,4,overheating,0.577,1
tablet,Apple,iPad Pro 11,49,2,17,4082.47,charging_port,1,overheating,0.432,0
tablet,Apple,iPad 10,70,6,11,10225.69,camera_failure,4,charging_port,0.718,1
tablet,Apple,iPad Pro 11,38,1,4,2047.41,battery_degradation,4,speaker_failure,0.516,1
tablet,Samsung,Galaxy Tab S9,39,2,15,1263.41,battery_degradation,4,charging_port,0.401,0
laptop,Apple,MacBook Air M2,62,0,62,0.0,none,4,overheating,0.366,0
tablet,Apple,iPad Pro 11,69,3,5,820.27,screen_damage,3,battery_degradation,0.608,1
phone,Xiaomi,Mi 13,6,3,4,7377.06,screen_damage,4,charging_port,0.532,1
laptop,Dell,XPS 13,2,0,2,0.0,none,2,charging_port,0.03,0
tablet,Lenovo,Tab P11,58,2,23,1955.67,battery_degradation,2,software_issue,0.553,1
laptop,Apple,MacBook Air M2,14,1,4,1039.94,keyboard_failure,1,keyboard_failure,0.429,0
tablet,Apple,iPad Pro 11,40,6,21,6829.99,battery_degradation,4,speaker_failure,0.466,1
laptop,Dell,XPS 13,57,0,57,0.0,none,4,software_issue,0.429,0
laptop,Apple,MacBook Air M2,6,0,6,0.0,none,1,motherboard_failure,0.142,0
phone,Samsung,Galaxy S21,22,3,7,3869.95,screen_damage,3,charging_port,0.512,1
tablet,Samsung,Galaxy Tab A8,30,0,30,0.0,none,2,software_issue,0.31,0
phone,Xiaomi,Poco F5,51,2,1,3686.94,screen_damage,4,camera_failure,0.773,1
tablet,Samsung,Galaxy Tab A8,1,0,1,0.0,none,2,screen_damage,0.146,0
laptop,Apple,MacBook Pro 14,14,0,14,0.0,none,2,speaker_failure,0.18,0
laptop,HP,Pavilion 15,59,3,7,1967.65,data_recovery,3,motherboard_failure,0.759,1
tablet,Samsung,Galaxy Tab S8,51,1,7,869.81,screen_damage,2,touchscreen_failure,0.616,1
tablet,Lenovo,Tab M10,11,1,10,334.87,screen_damage,3,screen_damage,0.245,0
phone,Apple,iPhone 13,19,1,16,971.16,camera_failure,4,water_damage,0.281,0
laptop,Lenovo,IdeaPad 5,69,2,11,2774.56,motherboard_failure,2,data_recovery,0.606,1
phone,Samsung,Galaxy A34,7,0,7,0.0,none,1,charging_port,0.208,0
laptop,Lenovo,ThinkPad X1 Carbon,50,0,50,0.0,none,4,water_damage,0.443,0
laptop,Dell,Inspiron 15,57,7,31,2926.94,battery_degradation,2,overheating,0.648,1
laptop,Apple,MacBook Air M2,29,2,17,1443.35,keyboard_failure,4,keyboard_failure,0.409,0
tablet,Lenovo,Tab P11,15,2,8,3875.57,screen_damage,3,screen_damage,0.473,1
tablet,Apple,iPad 10,57,7,34,3824.48,software_issue,2,charging_port,0.57,1
laptop,Apple,MacBook Air M2,34,4,22,8622.0,screen_damage,1,water_damage,0.354,0
phone,Apple,iPhone 15,45,1,27,414.95,screen_damage,2,screen_damage,0.253,0
phone,Apple,iPhone 15,45,3,34,2108.14,speaker_failure,3,camera_failure,0.433,0
tablet,Samsung,Galaxy Tab A8,35,3,32,7391.16,charging_port,1,touchscreen_failure,0.461,1
phone,Samsung,Galaxy S21,36,3,8,5260.7,charging_port,2,screen_damage,0.49,1
tablet,Samsung,Galaxy Tab S9,51,3,31,1066.29,battery_degradation,4,speaker_failure,0.531,1
laptop,Dell,XPS 13,12,0,12,0.0,none,3,screen_damage,0.141,0
tablet,Samsung,Galaxy Tab A8,63,3,20,4364.67,software_issue,1,charging_port,0.657,1
tablet,Samsung,Galaxy Tab S8,46,0,46,0.0,none,4,software_issue,0.4,0
phone,Samsung,Galaxy S22,64,1,17,807.16,screen_damage,2,motherboard_failure,0.465,1
tablet,Samsung,Galaxy Tab A8,7,0,7,0.0,none,4,battery_degradation,0.044,0
phone,Apple,iPhone 12,57,2,29,3.38,overheating,2,battery_degradation,0.527,1
tablet,Apple,iPad 10,39,4,10,8744.23,battery_degradation,1,software_issue,0.637,1
tablet,Samsung,Galaxy Tab A8,11,0,11,0.0,none,2,touchscreen_failure,0.129,0
phone,Samsung,Galaxy S23,30,2,13,3277.43,charging_port,1,charging_port,0.482,1
phone,Samsung,Galaxy S21,17,1,7,1298.61,charging_port,1,charging_port,0.366,0
tablet,Samsung,Galaxy Tab S9,55,5,8,5971.25,charging_port,1,screen_damage,0.704,1
tablet,Apple,iPad Air 5,41,0,41,0.0,none,3,battery_degradation,0.229,0
phone,Samsung,Galaxy S22,19,3,2,3978.81,battery_degradation,2,screen_damage,0.43,0
laptop,HP,Omen 16,28,1,20,1870.67,battery_degradation,4,overheating,0.407,0
phone,Apple,iPhone 11,18,4,3,5895.74,battery_degradation,4,water_damage,0.492,1
laptop,Lenovo,ThinkPad X1 Carbon,36,1,5,620.42,keyboard_failure,3,charging_port,0.509,1
tablet,Apple,iPad 10,39,3,13,3883.12,battery_degradation,4,battery_degradation,0.489,1
laptop,Apple,MacBook Air M1,64,0,64,0.0,none,2,battery_degradation,0.327,0
laptop,ASUS,ZenBook 14,68,5,0,12336.03,keyboard_failure,2,software_issue,0.937,1
laptop,ASUS,ROG Strix G15,47,3,34,5122.07,screen_damage,1,battery_degradation,0.538,1
phone,Xiaomi,Redmi Note 11,2,0,2,0.0,none,1,camera_failure,0.112,0
phone,Samsung,Galaxy A54,37,3,32,5753.33,screen_damage,4,water_damage,0.42,0
phone,Xiaomi,Mi 13,69,4,9,2774.68,screen_damage,2,battery_degradation,0.737,1
phone,Xiaomi,Poco X5,51,2,4,1550.85,screen_damage,2,battery_degradation,0.659,1
phone,Apple,iPhone 11,56,3,7,3400.29,charging_port,3,screen_damage,0.643,1
tablet,Lenovo,Tab P11,16,0,16,0.0,none,2,camera_failure,0.083,0
tablet,Apple,iPad Air 5,64,3,22,3922.54,camera_failure,3,screen_damage,0.573,1
phone,Samsung,Galaxy S22,35,4,7,7714.3,battery_degradation,4,battery_degradation,0.523,1
laptop,ASUS,ZenBook 14,34,3,4,3721.11,overheating,1,screen_damage,0.589,1
laptop,ASUS,ZenBook 14,48,4,10,2551.16,battery_degradation,1,overheating,0.577,1
phone,Xiaomi,Mi 13,1,0,1,0.0,none,1,software_issue,0.064,0
phone,Apple,iPhone 14,47,2,24,4601.13,software_issue,1,camera_failure,0.321,0
tablet,Lenovo,Tab M10,29,0,29,0.0,none,4,software_issue,0.209,0
tablet,Samsung,Galaxy Tab A8,10,0,10,0.0,none,1,screen_damage,0.164,0
tablet,Lenovo,Tab P11,23,1,7,2010.85,screen_damage,4,water_damage,0.503,1
phone,Samsung,Galaxy S23,40,3,20,647.89,water_damage,3,charging_port,0.475,1
phone,Samsung,Galaxy A54,39,0,39,0.0,none,2,charging_port,0.343,0
laptop,HP,Omen 16,64,2,12,3662.32,charging_port,2,overheating,0.609,1
phone,Apple,iPhone 14,4,0,4,0.0,none,3,screen_damage,0.02,0
tablet,Lenovo,Tab P11,43,3,0,5691.97,camera_failure,3,camera_failure,0.64,1
phone,Apple,iPhone 15,31,2,26,2460.14,overheating,2,camera_failure,0.217,0
tablet,Samsung,Galaxy Tab S9,6,0,6,0.0,none,4,screen_damage,0.214,0
tablet,Samsung,Galaxy Tab A8,11,0,11,0.0,none,2,camera_failure,0.171,0
tablet,Samsung,Galaxy Tab S9,8,0,8,0.0,none,2,charging_port,0.127,0
phone,Samsung,Galaxy S23,41,1,25,1751.81,speaker_failure,3,battery_degradation,0.402,0
laptop,HP,Pavilion 15,10,2,3,680.56,screen_damage,1,overheating,0.479,1
phone,Apple,iPhone 12,58,7,29,5495.58,water_damage,3,speaker_failure,0.514,1
phone,Samsung,Galaxy S23,60,5,16,10656.03,screen_damage,3,screen_damage,0.635,1
tablet,Lenovo,Tab P11,28,2,26,4282.87,charging_port,2,touchscreen_failure,0.27,0
laptop,Dell,Latitude 5530,7,0,7,0.0,none,3,software_issue,0.17,0
phone,Apple,iPhone 14,58,7,35,13091.37,software_issue,4,battery_degradation,0.54,1
phone,Apple,iPhone 11,2,0,2,0.0,none,2,screen_damage,0.02,0
phone,Apple,iPhone 14,48,4,5,5823.24,camera_failure,1,screen_damage,0.6,1
phone,Apple,iPhone 12,57,5,8,1149.73,speaker_failure,3,charging_port,0.788,1
phone,Apple,iPhone 14,7,0,7,0.0,none,4,charging_port,0.02,0
tablet,Samsung,Galaxy Tab A8,4,1,3,1708.03,screen_damage,2,software_issue,0.28,0
phone,Samsung,Galaxy S23,58,2,9,173.25,screen_damage,2,battery_degradation,0.639,1
tablet,Samsung,Galaxy Tab A8,53,4,35,4790.31,speaker_failure,4,charging_port,0.483,1
phone,Samsung,Galaxy S22,68,4,15,6307.54,water_damage,1,screen_damage,0.735,1
laptop,HP,EliteBook 840,70,4,31,3440.34,motherboard_failure,3,motherboard_failure,0.613,1
laptop,HP,Pavilion 15,4,0,4,0.0,none,2,overheating,0.084,0
phone,Samsung,Galaxy S21,61,1,33,893.58,battery_degradation,2,water_damage,0.467,1
phone,Apple,iPhone 12,31,5,17,6671.12,touchscreen_failure,1,water_damage,0.572,1
phone,Xiaomi,Poco F5,46,1,11,440.25,battery_degradation,3,charging_port,0.557,1
tablet,Apple,iPad 10,46,4,36,5636.06,charging_port,2,screen_damage,0.493,1
laptop,ASUS,ROG Strix G15,23,2,15,189.82,software_issue,2,overheating,0.301,0
phone,Xiaomi,Poco F5,1,0,1,0.0,none,2,camera_failure,0.121,0
phone,Samsung,Galaxy S22,42,1,3,54.78,motherboard_failure,2,camera_failure,0.552,1
phone,Xiaomi,Poco X5,10,0,10,0.0,none,4,speaker_failure,0.175,0
tablet,Apple,iPad Pro 11,39,2,20,682.26,software_issue,4,charging_port,0.31,0
tablet,Samsung,Galaxy Tab S8,41,0,41,0.0,none,3,battery_degradation,0.24,0
phone,Xiaomi,Mi 13,23,0,23,0.0,none,3,charging_port,0.241,0
phone,Apple,iPhone 11,51,2,36,161.91,battery_degradation,2,camera_failure,0.425,0
tablet,Lenovo,Tab P11,64,3,9,2483.76,touchscreen_failure,3,camera_failure,0.591,1
laptop,Lenovo,Legion 5,12,0,12,0.0,none,3,battery_degradation,0.224,0
laptop,Apple,MacBook Air M2,27,1,7,1732.94,battery_degradation,1,screen_damage,0.347,0
tablet,Apple,iPad Air 5,50,3,28,5494.38,speaker_failure,4,touchscreen_failure,0.544,1
laptop,Dell,Inspiron 15,70,1,24,253.57,software_issue,2,motherboard_failure,0.446,0
phone,Samsung,Galaxy S21,5,1,2,50.19,charging_port,1,charging_port,0.311,0
phone,Samsung,Galaxy S22,49,2,10,3659.93,camera_failure,1,water_damage,0.571,1
laptop,ASUS,VivoBook 15,62,6,1,6469.85,screen_damage,4,battery_degradation,0.872,1
phone,Apple,iPhone 11,43,4,13,9743.98,camera_failure,3,charging_port,0.539,1
tablet,Samsung,Galaxy Tab A8,31,1,6,124.09,battery_degradation,4,battery_degradation,0.469,1
phone,Apple,iPhone 13,1,0,1,0.0,none,3,screen_damage,0.041,0
tablet,Lenovo,Tab M10,26,0,26,0.0,none,2,battery_degradation,0.149,0
phone,Xiaomi,Poco X5,11,1,7,2109.42,charging_port,4,screen_damage,0.358,0
laptop,Dell,Latitude 5530,34,2,5,3209.33,screen_damage,3,battery_degradation,0.506,1
laptop,HP,Pavilion 15,58,0,58,0.0,none,4,overheating,0.299,0
laptop,HP,Pavilion 15,35,0,35,0.0,none,2,battery_degradation,0.288,0
tablet,Lenovo,Tab P11,11,0,11,0.0,none,4,speaker_failure,0.189,0
tablet,Apple,iPad 10,8,0,8,0.0,none,4,charging_port,0.158,0
tablet,Lenovo,Tab M10,31,2,30,1494.26,screen_damage,1,touchscreen_failure,0.334,0
tablet,Lenovo,Tab P11,16,0,16,0.0,none,4,battery_degradation,0.27,0
phone,Apple,iPhone 12,25,2,4,213.38,camera_failure,4,overheating,0.357,0
phone,Xiaomi,Redmi Note 12,34,0,34,0.0,none,1,battery_degradation,0.284,0
phone,Samsung,Galaxy A54,51,4,35,3261.27,water_damage,4,battery_degradation,0.51,1
phone,Xiaomi,Mi 13,67,3,26,843.89,water_damage,1,screen_damage,0.53,1
phone,Xiaomi,Redmi Note 11,37,1,34,2200.34,water_damage,3,water_damage,0.461,1
laptop,Dell,Latitude 5530,61,2,2,861.0,keyboard_failure,4,battery_degradation,0.664,1
phone,Samsung,Galaxy S23,31,2,3,3728.75,screen_damage,3,battery_degradation,0.614,1
phone,Samsung,Galaxy S23,40,4,17,8428.47,screen_damage,1,water_damage,0.63,1
phone,Apple,iPhone 13,57,5,20,3367.75,screen_damage,1,charging_port,0.602,1
phone,Samsung,Galaxy S22,53,1,31,1898.73,battery_degradation,1,battery_degradation,0.488,1
tablet,Apple,iPad Air 5,40,2,32,2016.93,screen_damage,1,charging_port,0.406,0
phone,Apple,iPhone 12,8,0,8,0.0,none,4,camera_failure,0.04,0
phone,Samsung,Galaxy S22,36,4,23,8235.06,battery_degradation,1,battery_degradation,0.489,1
tablet,Apple,iPad Air 5,48,7,31,10395.76,touchscreen_failure,4,battery_degradation,0.476,1
tablet,Lenovo,Tab M10,45,4,10,8376.54,charging_port,1,screen_damage,0.593,1
laptop,Apple,MacBook Air M2,7,1,2,2134.55,battery_degradation,2,battery_degradation,0.374,0
phone,Xiaomi,Redmi Note 12,27,2,8,3257.94,screen_damage,1,battery_degradation,0.521,1
laptop,Lenovo,Legion 5,23,1,19,2002.16,motherboard_failure,3,keyboard_failure,0.251,0
tablet,Lenovo,Tab M10,55,4,24,8515.86,charging_port,2,screen_damage,0.567,1
laptop,HP,Omen 16,67,3,25,4383.65,battery_degradation,3,keyboard_failure,0.451,1
tablet,Lenovo,Tab M10,39,1,6,1204.35,software_issue,3,charging_port,0.462,1
tablet,Samsung,Galaxy Tab A8,34,2,19,941.8,water_damage,2,battery_degradation,0.415,0
phone,Xiaomi,Poco F5,41,6,8,10819.25,battery_degradation,3,battery_degradation,0.769,1
laptop,Dell,Inspiron 15,50,2,2,2915.12,screen_damage,2,data_recovery,0.732,1
laptop,Lenovo,Legion 5,69,4,30,9065.27,battery_degradation,3,keyboard_failure,0.634,1
phone,Xiaomi,Mi 13,24,1,9,244.01,charging_port,3,battery_degradation,0.371,0
tablet,Lenovo,Tab P11,43,1,5,555.63,charging_port,3,touchscreen_failure,0.468,1
laptop,HP,EliteBook 840,34,4,18,4637.61,screen_damage,1,motherboard_failure,0.444,0
tablet,Lenovo,Tab P11,61,2,12,2502.39,charging_port,4,charging_port,0.673,1
tablet,Samsung,Galaxy Tab A8,7,0,7,0.0,none,2,water_damage,0.209,0
phone,Apple,iPhone 13,53,4,36,8928.45,speaker_failure,2,screen_damage,0.612,1
laptop,Lenovo,ThinkPad X1 Carbon,63,4,21,6310.33,keyboard_failure,1,water_damage,0.56,1
phone,Samsung,Galaxy S23,27,3,24,5801.57,battery_degradation,2,screen_damage,0.4,0
laptop,Apple,MacBook Air M1,56,4,27,4033.93,software_issue,4,water_damage,0.623,1
phone,Apple,iPhone 15,26,3,23,2798.26,motherboard_failure,3,screen_damage,0.241,0
tablet,Apple,iPad Air 5,1,0,1,0.0,none,2,speaker_failure,0.08,0
phone,Xiaomi,Poco X5,40,3,8,770.31,software_issue,3,battery_degradation,0.634,1
phone,Apple,iPhone 11,39,3,18,3419.45,charging_port,3,water_damage,0.449,0
laptop,Lenovo,IdeaPad 5,63,3,22,5625.87,keyboard_failure,4,charging_port,0.5,1
phone,Apple,iPhone 12,17,0,17,0.0,none,1,screen_damage,0.077,0
tablet,Lenovo,Tab P11,16,1,11,1777.78,overheating,4,touchscreen_failure,0.397,0
tablet,Samsung,Galaxy Tab S8,7,1,0,1654.92,screen_damage,1,software_issue,0.416,0
phone,Xiaomi,Redmi Note 11,54,5,28,4753.17,camera_failure,4,speaker_failure,0.679,1
tablet,Apple,iPad Air 5,2,0,2,0.0,none,1,screen_damage,0.02,0
tablet,Lenovo,Tab M10,18,1,13,2076.63,battery_degradation,1,battery_degradation,0.253,0
laptop,Apple,MacBook Air M1,64,1,12,1522.5,battery_degradation,2,charging_port,0.556,1
laptop,Dell,Inspiron 15,21,1,1,1370.35,speaker_failure,4,screen_damage,0.529,1
laptop,Lenovo,ThinkPad X1 Carbon,2,0,2,0.0,none,1,battery_degradation,0.144,0
tablet,Lenovo,Tab M10,20,2,2,3897.63,screen_damage,1,screen_damage,0.398,0
laptop,Lenovo,IdeaPad 5,38,1,16,1160.69,overheating,2,overheating,0.327,0
phone,Samsung,Galaxy S23,41,4,27,7385.4,charging_port,1,screen_damage,0.424,0
phone,Apple,iPhone 12,43,4,22,8945.28,screen_damage,3,software_issue,0.573,1
tablet,Apple,iPad Pro 11,44,3,11,853.74,screen_damage,4,touchscreen_failure,0.508,1
laptop,Dell,Latitude 5530,62,6,26,9732.7,data_recovery,1,overheating,0.709,1
phone,Xiaomi,Redmi Note 11,21,1,3,1040.07,screen_damage,4,water_damage,0.498,1
phone,Xiaomi,Poco F5,46,0,46,0.0,none,2,camera_failure,0.402,0
laptop,Dell,XPS 13,53,1,28,114.93,screen_damage,3,battery_degradation,0.367,0
phone,Xiaomi,Mi 13,29,1,21,2182.86,screen_damage,1,speaker_failure,0.374,0
laptop,Lenovo,IdeaPad 5,45,0,45,0.0,none,4,overheating,0.358,0
phone,Xiaomi,Mi 13,7,1,0,1608.5,screen_damage,4,battery_degradation,0.366,0
laptop,Lenovo,ThinkPad X1 Carbon,63,5,20,3011.15,software_issue,1,keyboard_failure,0.777,1
tablet,Apple,iPad 10,49,2,25,4085.52,charging_port,4,battery_degradation,0.311,0
tablet,Samsung,Galaxy Tab S9,64,2,28,1580.31,screen_damage,1,software_issue,0.596,1
phone,Samsung,Galaxy A34,5,0,5,0.0,none,1,motherboard_failure,0.136,0
phone,Xiaomi,Mi 13,39,4,32,5623.33,speaker_failure,4,water_damage,0.576,1
laptop,HP,Pavilion 15,29,0,29,0.0,none,3,keyboard_failure,0.314,0
tablet,Lenovo,Tab M10,47,4,28,1140.23,battery_degradation,2,battery_degradation,0.587,1
phone,Samsung,Galaxy S23,38,0,38,0.0,none,3,camera_failure,0.3,0
tablet,Apple,iPad Air 5,22,2,15,702.25,screen_damage,4,touchscreen_failure,0.378,0
phone,Samsung,Galaxy A54,26,2,6,603.73,water_damage,2,water_damage,0.55,1
laptop,Lenovo,Legion 5,44,1,6,1892.87,motherboard_failure,1,data_recovery,0.429,0
laptop,Dell,Latitude 5530,65,4,8,9638.55,software_issue,1,overheating,0.634,1
tablet,Samsung,Galaxy Tab S8,62,1,32,1952.7,screen_damage,2,charging_port,0.532,1
tablet,Apple,iPad Air 5,50,2,20,2520.55,battery_degradation,2,battery_degradation,0.41,0
laptop,Dell,Inspiron 15,38,0,38,0.0,none,2,battery_degradation,0.281,0
phone,Samsung,Galaxy A54,66,5,19,10538.43,charging_port,3,motherboard_failure,0.701,1
tablet,Lenovo,Tab P11,26,2,6,3120.84,software_issue,3,software_issue,0.438,0
tablet,Apple,iPad 10,23,2,16,2712.46,screen_damage,1,software_issue,0.359,0
laptop,ASUS,ROG Strix G15,54,2,34,1429.64,battery_degradation,1,overheating,0.539,1
tablet,Apple,iPad Air 5,49,3,9,397.99,screen_damage,3,battery_degradation,0.481,1
phone,Samsung,Galaxy S23,19,3,1,5179.46,software_issue,1,speaker_failure,0.496,1
laptop,Dell,XPS 13,72,4,14,7424.13,overheating,2,overheating,0.696,1
tablet,Lenovo,Tab M10,7,0,7,0.0,none,4,software_issue,0.22,0
laptop,HP,Omen 16,7,0,7,0.0,none,3,battery_degradation,0.038,0
phone,Xiaomi,Poco F5,29,6,29,9506.83,battery_degradation,3,screen_damage,0.587,1
tablet,Lenovo,Tab P11,25,0,25,0.0,none,2,screen_damage,0.184,0
tablet,Apple,iPad Air 5,23,3,23,3853.85,speaker_failure,4,touchscreen_failure,0.299,0
laptop,ASUS,ROG Strix G15,17,0,17,0.0,none,3,motherboard_failure,0.117,0
phone,Samsung,Galaxy A34,20,0,20,0.0,none,3,battery_degradation,0.108,0
tablet,Apple,iPad 10,39,3,31,5924.31,software_issue,1,screen_damage,0.405,0
tablet,Samsung,Galaxy Tab S8,29,0,29,0.0,none,1,screen_damage,0.336,0
tablet,Apple,iPad Pro 11,70,4,34,4034.17,battery_degradation,2,charging_port,0.52,1
tablet,Samsung,Galaxy Tab A8,47,1,18,546.11,battery_degradation,4,speaker_failure,0.486,1
tablet,Lenovo,Tab P11,15,1,11,1114.17,charging_port,2,screen_damage,0.414,0
phone,Xiaomi,Poco X5,49,2,7,1929.38,screen_damage,3,speaker_failure,0.645,1
phone,Xiaomi,Poco X5,66,8,32,8911.14,overheating,2,charging_port,0.609,1
laptop,ASUS,ZenBook 14,13,0,13,0.0,none,1,keyboard_failure,0.098,0
tablet,Apple,iPad Air 5,28,1,27,1713.51,touchscreen_failure,2,overheating,0.307,0
tablet,Lenovo,Tab M10,10,0,10,0.0,none,2,speaker_failure,0.199,0
phone,Samsung,Galaxy S23,5,3,0,549.36,motherboard_failure,3,camera_failure,0.411,0
tablet,Apple,iPad 10,30,0,30,0.0,none,4,charging_port,0.282,0
laptop,Dell,Latitude 5530,52,4,27,3164.04,screen_damage,1,data_recovery,0.538,1
tablet,Apple,iPad 10,9,0,9,0.0,none,1,screen_damage,0.146,0
tablet,Apple,iPad Pro 11,65,0,65,0.0,none,3,battery_degradation,0.271,0
tablet,Apple,iPad Pro 11,57,3,24,2963.35,battery_degradation,4,speaker_failure,0.517,1
phone,Xiaomi,Redmi Note 12,18,1,12,1991.93,battery_degradation,3,screen_damage,0.46,1
tablet,Apple,iPad Pro 11,48,2,0,2767.62,battery_degradation,1,battery_degradation,0.601,1
phone,Apple,iPhone 15,51,2,34,2737.63,camera_failure,2,battery_degradation,0.322,0
tablet,Lenovo,Tab M10,28,4,13,9056.28,battery_degradation,2,software_issue,0.602,1
phone,Apple,iPhone 12,33,1,12,286.56,battery_degradation,1,water_damage,0.399,0
tablet,Samsung,Galaxy Tab S8,71,3,4,2179.9,charging_port,1,battery_degradation,0.63,1
phone,Xiaomi,Mi 13,63,1,21,892.85,screen_damage,2,software_issue,0.559,1
phone,Samsung,Galaxy A54,9,0,9,0.0,none,3,motherboard_failure,0.225,0
laptop,Dell,Inspiron 15,40,3,9,4241.64,data_recovery,3,overheating,0.548,1
laptop,Lenovo,ThinkPad X1 Carbon,41,5,15,9820.75,keyboard_failure,4,screen_damage,0.672,1
laptop,HP,Pavilion 15,43,2,30,2314.24,overheating,3,software_issue,0.387,0
laptop,ASUS,ZenBook 14,23,0,23,0.0,none,1,battery_degradation,0.244,0
laptop,Lenovo,Legion 5,26,0,26,0.0,none,1,speaker_failure,0.183,0
